"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"mainmenu/no_leaderboards";"There are not enough sessions for displaying the Leaderboards";"Il n'y a pas assez de sessions pour afficher les Classements";"Non ci sono abbastanza partite per visualizzare le classifiche";"Nicht genügend Spielsitzungen für die Anzeige der Bestenlisten";"No hay suficientes sesiones para la visualización de las tablas de Clasificación";"Недостаточно сессий для отображения таблиц рекордов";"Nie została rozegrana wystarczająca ilość bitew, aby wyświetlić Rankingi.";"Nedostatek střetnutí pro zobrazení žebříčků";"Lider tablosunda görüntülemek için yeterli oturum bilgisi yok";"游\t戏\t数\t不\t够，\t无\t法\t显\t示\t排\t行\t榜";"ランキングでの\t表示に\t必要な\tセッション\t回数が\t足りていません。";"Não há sessões suficientes para mostrar os placares.";"Недостатньо сесій для відображення таблиць рекордів";"Nema dovoljno sesija za prikazivanje Rang liste";"Nincs elég lejátszott csatád a ranglisták megtekintéséhez";"순위표를 표시하기에 세션의 수가 충분하지 않습니다.";"Адваявана замала баёў, каб паказаць табліцы рэкордаў";"Nu există suficiente sesiuni pentru afișarea clasamentului";"遊\t戲\t時\t數\t不\t夠\t無\t法\t顯\t示\t排\t行\t榜";"游\t戏\t数\t不\t够，\t无\t法\t显\t示\t排\t行\t榜";;
"mainmenu/customMatch";"Find Session";"Trouver une session";"Trova sessione";"Spielsitzung suchen";"Buscar Sesión";"Поиск сессии";"Znajdź sesję";"Najít střetnutí";"Oturum Bul";"搜\t寻\t游\t戏";"セッションを\t検索";"Encontrar Sessão";"Пошук сесії";"Pronađi partiju";"Játszma keresése";"방 찾기";"Пошук сеанса";"Găsire sesiune";"搜\t尋\t活\t動";"搜\t寻\t游\t戏";;
"mainmenu/selectCreateMode";"Game Mode";"Modes de jeu";"Modalità di gioco";"Spielmodus";"Modo de Juego";"Режим игры";"Tryb gry";"Herní mód";"Oyun modu";"游\t戏\t模\t式";"ゲームモード";"Modo de Jogo";"Режим гри";"Režim igranja";"Játékmód";"게임 모드";"Рэжым гульні";"Mod de joc";"遊\t戲\t模\t式";"游\t戏\t模\t式";;
"mainmenu/btnBack";"Back";"Retour";"Indietro";"Zurück";"Volver";"Назад";"Wstecz";"Zpět";"Geri";"返\t回";"戻る";"Voltar";"Назад";"Nazad";"Vissza";"뒤로";"Назад";"Înapoi";"返\t回";"返\t回";;
"mainmenu/btnClose";"Close";"Fermer";"Chiudi";"Schließen";"Cerrar";"Закрыть";"Zamknij";"Zavřít";"Kapat";"关\t闭";"閉じる";"Fechar";"Закрити";"Zatvori";"Bezárás";"닫기";"Закрыць";"Închidere";"關\t閉";"关\t闭";;
"mainmenu/btnRefresh";"Refresh";"Actualiser";"Aggiorna";"Aktualisieren";"Actualizar";"Обновить";"Odśwież";"Obnovit";"Yenile";"更\t新";"更新";"Atualizar";"Оновити";"Osveži";"Frissítés";"새로 고침";"Абнавіць";"Împrospătare";"更\t新";"更\t新";;
"mainmenu/btnRefreshByUrl";"Update by link";"Mise à jour par lien";"Aggiornamento da link";"Über Verknüpfung aktualisieren";"Actualizar por Enlace";"Обновить по ссылке";"Zaktualizuj przez link";"Aktualizovat odkaz";"Bağlantıdan güncelle";"通\t过\t链\t接\t更\t新";"リンクを\t更新";"Atualizar por link";"Оновити за посиланням";"Ažuriraj po linku";"Frissítés URL cím alapján";"링크로 업데이트";"Абнавіць па спасылцы";"Actualizare prin legătură";"透\t過\t連\t結\t更\t新";"通\t过\t链\t接\t更\t新";;
"mainmenu/btnPrev";"Previous Step";"Étape précédente";"Passo precedente";"Vorheriger Schritt";"Paso Anterior";"Предыдущий пункт";"Poprzedni krok";"Předchozí krok";"Önceki adım";"上\t一\t步";"前の\tステップ";"Passo Anterior";"Попередній пункт";"Prethodni korak";"Előző lépés";"이전 단계";"Папярэдні крок";"Pasul anterior";"上\t一\t步";"上\t一\t步";;
"mainmenu/btnSelect";"Select";"Sélectionner";"Selezionare";"Auswählen";"Seleccionar";"Выбор";"Wybierz";"Vybrat";"Seç";"选\t择";"選択";"Selecionar";"Вибір";"Odaberi";"Kiválasztás";"선택";"Выбраць";"Selectare";"選\t擇";"选\t择";;
"mainmenu/questionQuitGame";"Would you like to quit?";"Voulez-vous quitter ?";"Vuoi uscire?";"Möchtest du das Spiel verlassen?";"¿Deseas salir?";"Вы действительно хотите выйти из игры?";"Czy chcesz wyjść?";"Chceš odejít?";"Çıkmak İster Misin?";"确\t定\t要\t退\t出\t游\t戏\t吗？";"終了しますか？";"Deseja sair?";"Ви дійсно хочете вийти з гри?";"Da li želite da izađete?";"Biztosan ki szeretnél lépni?";"나가시겠습니까?";"Ці сапраўды хочаце выйсці з гульні?";"Dorești să ieși?";"確\t定\t要\t退\t出\t遊\t戲\t嗎?";"确\t定\t要\t退\t出\t游\t戏\t吗？";;
"mainmenu/btnAircraftInfo";"Information";"Informations";"Informazioni";"Informationen";"Información";"Информация";"Informacje";"Informace";"Bilgi";"介\t绍";"情報";"Informação";"Інформація";"Informacije";"Információ";"정보";"Інфармацыя";"Informații";"資\t訊";"介\t绍";;
"mainmenu/btnPages";"Pages";"Pages";"Pagine";"Seiten";"Páginas";"Страницы";"Strony";"Stránky";"Sayfalar";"页";"ページ";"Páginas";"Сторінки";"Stranice";"Oldalak";"페이지";"Старонкі";"Pagini";"頁";"页";;
"mainmenu/btnMyPlace";"My Place";"Ma place";"La mia posizione";"Mein Listenplatz";"Mi Lugar";"Мое место";"Miejsce";"Mé umístění";"Benim sıram";"我\t的\t排\t名";"あなたの\t順位";"Lugar";"Моє місце";"Moje mesto";"Helyezésem";"내 순위";"Маё месца";"Locul meu";"我\t的\t排\t名";"我\t的\t排\t名";;
"mainmenu/btnTopPlace";"First Place";"Première place";"Primo posto";"Erster Platz";"Primer Puesto";"Первое место";"Pierwsze miejsce";"První místo";"Birinci sıra";"第\t一\t名";"1位";"Primeiro lugar";"Перше місце";"Prvo mesto";"Első hely";"1위";"Першае месца";"Primul loc";"第\t一\t名";"第\t一\t名";;
"mainmenu/btnLastWeek";"Previous Top 10";"Top 10 précédent";"10 migliori precedenti";"Vorherige Top 10";"Previos 10 Mejores";"Предыдущая 10-ка лучших";"Poprzednia pierwsza 10";"Předchozích Top 10";"Önceki Top 10";"前\t十\t名";"以前の\tトップ\t10";"Top 10 Anteriores";"Попередня 10-ка кращих";"Prethodnih top 10";"Előző top 10";"지난주의 상위 10명";"Папярэдняя дзясятка найлепшых";"Anteriorii top 10";"前\t十\t名";"前\t十\t名";;
"mainmenu/btnPageNext";"Next";"Suivant";"Successivo";"Nächste";"Siguiente";"Следующая";"Następny";"Další";"Sıradaki";"下\t一\t页";"次へ";"Próximo";"Наступна";"Sledeća";"Következő";"다음";"Наступная";"Următorii";"下\t一\t頁";"下\t一\t页";;
"mainmenu/btnPagePrev";"Previous";"Précédent";"Precedente";"Vorherige";"Anterior";"Предыдущая";"Poprzedni";"Předchozí";"Önceki";"上\t一\t页";"前へ";"Anterior";"Попередня";"Prethodna";"Előző";"이전";"Папярэдняя";"Anteriorii";"上\t一\t頁";"上\t一\t页";;
"mainmenu/btnMonthLb";"Last Month";"Mois dernier";"Ultimo mese";"Letzter Monat";"El Mes Pasado";"За последний месяц";"Ostatni miesiąc";"Minulý měsíc";"Geçen Ay";"仅\t上\t月\t情\t况";"先月";"Mês passado";"За останній місяць";"Prethodni mesec";"Múlt hónap";"지난 달";"За апошні месяц";"Luna trecută";"上\t個\t月";"仅\t上\t月\t情\t况";;
"mainmenu/btnTotalLb";"All Time";"Tous les temps";"Da sempre";"Gesamt";"Histórico";"За все время";"W historii";"Celá historie";"Bütün Zamanlar";"总\t排\t名";"全期間";"Todos os tempos";"За весь час";"Svih vremena";"Összes";"모든 시간";"За ўвесь час";"Dintotdeauna";"所\t有\t時\t間";"总\t排\t名";;
"mainmenu/btnSessionSettings";"Session Settings";"Paramètres de Session";"Impostazione sessione";"Sitzungseinstellungen";"Configuración de la Sesión";"Параметры игры";"Ustawienia sesji";"Nastavení střetnutí";"Oturum Ayarları";"游\t戏\t设\t置";"セッションの\t設定";"Configurações de sessão";"Параметри гри";"Podešavanja za sesiju";"Játszma beállításai";"세션 설정";"Параметры гульні";"Setări sesiune";"遊\t戲\t設\t置";"游\t戏\t设\t置";;
"mainmenu/btnPostFxSettings";"PostFX Settings";"Paramètres PostFX";"Impostazioni PostFX";"PostFX-Einstellungen";"Configuración de PostFX";"Настройка постэффектов";"Ustawienia PostFX";"Nastavení PostFX";"PostFX Ayarları";"后\t期\t特\t效\t设\t置";"PostFXの\t設定";"Configurações PostFX";"Налаштування постефектів";"Podešavanja za PostFX";"PostFX beállítások";"PostFX 설정";"Налады эфектаў пост-апрацоўкі";"Setări PostFX";"PostFX 設\t置";"后\t期\t特\t效\t设\t置";;
"mainmenu/btnSpectator";"Spectator";"Spectateur";"Spettatore";"Zuschauer";"Espectador";"Зритель";"Widz";"Divák";"İzleyici";"观\t战";"観戦者";"Espectador";"Глядач";"Gledalac";"Megfigyelő";"관전자";"Назіральнік";"Spectator";"觀\t戰";"观\t战";;
"tooltip/spectator_mode";"Entering the game in Spectator mode, you will not participate in battle, but you can watch.";"Entrer dans le jeu en mode spectateur, vous ne participerez pas à la bataille, mais vous pouvez regarder.";"Entrando in gioco con la modalità spettatore, non ti permetterà di partecipare alla battaglia ma ti consente di guardarla.";"Iim Zuschauermodus nimmst du persönlich nicht an der Schlacht teil, sondern übernimmst die Rolle eines neutralen Beobachters.";"Entrando en la partida en modo Espectador, no podrás participar en la batalla, pero puedes observar.";"Войдя в режиме Зрителя, вы не будете участвовать в бою, но вы сможете наблюдать за происходящим.";"Wchodząc do bitwy w trybie obserwatora nie weźmiesz udziału w walce, ale będziesz mógł się jej przyglądać.";"Když vstoupíš do bitvy jako Divák, nemůžeš se se jí účastnit, ale můžeš ji sledovat";"Oyuna İzleyici modunda giriliyor, savaşa dahil değilsiniz ancak izleyebilirsiniz.";"进\t入\t观\t战\t模\t式\t后，\t只\t能\t观\t察\t其\t他\t玩\t家\t的\t行\t为，\t而\t自\t己\t无\t法\t参\t与\t其\t中。";"「観戦\tモード」\tで\tゲームに\t入ると、\t戦闘に\t参加する\t事はできませんが、\t観戦することは\t出来ます。";"Ao entrar no jogo em modo de espetador não irá participar na batalha, mas pode ver.";"Заходячи в гру в режимі Глядача, ви не будете брати участь в битві, але ви зможете спостерігати за тим, що відбувається.";"Ulaženjem u igru u režimu posmatrača, nežete učestovati u borbi, ali je možete gledati.";"Megfigyelő módban lép be egy csatába, nem vehet részt a csatában, de végignézheti.";"관전 모드로 들어갑니다. 전투에 참가하지 않고 구경할 수 있습니다.";"Уступіўшы ў бой як назіральнік, вы не будзеце браць у ім удзел, але зможаце яго назіраць.";"Intrând în joc în modul spectator, nu vei participa la luptă, dar poți să te uiți.";"進\t入\t觀\t戰\t模\t式\t後，\t只\t能\t觀\t察\t其\t他\t玩\t家\t的\t行\t為，\t而\t自\t己\t無\t法\t參\t與\t行\t動";"进\t入\t观\t战\t模\t式\t后，\t只\t能\t观\t察\t其\t他\t玩\t家\t的\t行\t为，\t而\t自\t己\t无\t法\t参\t与\t其\t中。";;
"mainmenu/btnReferee";"Referee";"Arbitre";"Arbitro";"Schiedsrichter";"Árbitro";"Арбитр";"Sędzia";"Rozhodčí";"Hakem";"观\t战";"観戦者";"Árbitro";"Арбітр";"Sudija";"Játékvezető";"심판";"Суддзя";"Arbitru";"觀\t戰";"观\t战";;
"tooltip/referee_mode";"Entering the game in Referee mode, you will not participate in battle, but you can watch the action on behalf of both teams.";"Vous entrez dans le mode arbitrage du jeu, vous ne participerez pas à la bataille, mais vous pourrez suivre les actions de chacune des équipes.";"Entra nel gioco in modalità Arbitro, non potrai partecipare alla battaglia ma puoi guardare le azioni di entrambe le squadre.";"Als Schiedsrichter wirst du nicht aktiv an der Schlacht teilnehmen, kannst die Geschehenisse beider Teams jedoch als neutraler Beobachter verfolgen.";"Entrando en el juego en el modo Árbitro, no podrás participar en la batalla, pero puedes ver la acción en nombre de ambos equipos.";"Войдя в режиме Арбитра, вы не будете участвовать в бою, но вы сможете наблюдать за действием от лица обеих команд.";"Wchodząc do gry w trybie Sędziego, nie będziesz uczestniczył w bitwie, lecz możesz oglądać akcję z perspektywy obu drużyn.";"Vstoupíš do hry jako Rozhodčí, nebudeš se účastnit bitvy, ale můžeš sledovat činnost obou týmů";"Oyuna Hakem modunda giriliyor, savaşa dahil olamazsınız ancak her iki takımı da izleyebilirsiniz.";"进\t入\t观\t战\t模\t式\t后，\t只\t能\t观\t察\t其\t他\t玩\t家\t的\t行\t为，\t而\t自\t己\t无\t法\t参\t与\t其\t中。";"観戦\tモードでは\t戦闘に\t参加することは\t出来ませんが、\t両\tチームの\t戦いの\t様子を\t観ることが\t出来ます。";"Entranado no jogo no modo de árbitro, você não vai participar na batalha, mas pode assistir à ação da parte de ambas as equipes.";"Увійшовши в режим Арбітра, ви не будете брати участь в бою, але зможете спостерігати за процесом з боку обох команд.";"Ukoliko ulazite u igru u sudijskom modu nećete moći da učestvujete u borbi, ali možete gledati akciju oba tima.";"Ha játékvezető módban lép be egy csatába, nem vehet részt a csatában, de megfigyelheti mindkét csapat tagjait.";"심판 모드로 게임에 입장했을 경우 전투에 참여할 수는 없지만 두 편의 활동을 지켜볼 수 있습니다.";"Уступіўшы ў бой як суддзя, вы не будзеце браць у ім удзел, але зможаце назіраць за баявымі дзеяннямі абедзвюх каманд.";"Intrând în joc în modul arbitru, nu vei participa la luptă, dar poți urmări acțiunea în numele ambelor echipe.";"進\t入\t觀\t戰\t模\t式\t後，\t只\t能\t觀\t察\t其\t他\t玩\t家\t的\t行\t為，\t而\t自\t己\t無\t法\t參\t與\t其\t中。";"进\t入\t观\t战\t模\t式\t后，\t只\t能\t观\t察\t其\t他\t玩\t家\t的\t行\t为，\t而\t自\t己\t无\t法\t参\t与\t其\t中。";;
"mainmenu/btnTeam";"Change Team";"Changer d'équipe";"Cambia squadra";"Team wechseln";"Cambiar de Equipo";"Смена команды";"Zmień drużynę";"Změnit tým";"Takımı değiştir";"更\t改\t队\t伍";"チームの\t変更";"Mudar de Equipa";"Зміна команди";"Promeni tim";"Csapatváltás";"팀 변경";"Змяніць каманду";"Schimbare echipă";"變\t更\t隊\t伍";"更\t改\t队\t伍";;
"mainmenu/btnCountry";"Change Country";"Changer de pays";"Cambia Nazione";"Nation wechseln";"Cambiar de País";"Смена страны";"Zmień kraj";"Změnit zemi";"Ülkeyi değiştir";"更\t改\t国\t家";"国の\t変更";"Mudar de Nação";"Зміна країни";"Promeni naciju";"Nemzetváltás";"국가 변경";"Змяніць дзяржаву";"Schimbare țară";"變\t更\t國\t家";"更\t改\t国\t家";;
"mainmenu/btnInvite";"Invite Friends";"Inviter des amis";"Invita amici";"Freunde einladen";"Invitar amigos";"Пригласить друзей";"Zaproś znajomych";"Pozvat přátele";"Arkadaşlarını Davet Et";"邀\t请\t好\t友";"フレンドを\t招待する";"Convidar amigos";"Запросити друзів";"Pozovi prijatelje";"Barát meghívása";"친구 초대";"Запрасіць сяброў";"Invitare prieteni";"邀\t請\t好\t友";"邀\t请\t好\t友";;
"mainmenu/btnReady";"Ready";"Prêt";"Pronto";"Bereit";"Listo";"Готов";"Gotowy";"Připraven";"Hazır";"准\t备";"準備完了";"Pronto";"Готовий";"Spreman";"Készen állok";"준비";"Гатовы";"Gata";"準\t備";"准\t备";;
"mainmenu/btnApply";"Apply";"Appliquer";"Applica";"Anwenden";"Aplicar";"Применить";"Zastosuj";"Použít";"Uygula";"应\t用";"適用";"Aplicar";"Застосувати";"Primeniti";"Alkalmaz";"적용";"Дастасаваць";"Aplicare";"應\t用";"应\t用";;
"mainmenu/btnOk";"Ok";"Ok";"OK";"OK";"Aceptar";"Ок";"OK";"OK";"Tamam";"确\t定";"確認";"OK";"Ок";"Ok";"OK";"확인";"Добра";"OK";"確\t定";"确\t定";;
"mainmenu/btnSpectatorNext";"Next";"Suivant";"Successivo";"Nächste";"Siguiente";"Далее";"Następny";"Další";"Sıradaki";"下\t一\t个";"次へ";"Próximo";"Далі";"Sledeći";"Következő";"다음";"Далей";"Următorul";"下\t一\t個";"下\t一\t个";;
"mainmenu/btnSpectatorPrev";"Previous";"Précédent";"Precedente";"Vorherige";"Anterior";"Назад";"Poprzedni";"Předchozí";"Önceki";"上\t一\t个";"前へ";"Anterior";"Назад";"Prethodni";"Előző";"이전";"Назад";"Anteriorul";"上\t一\t個";"上\t一\t个";;
